,Pclass,Sex,Age,SibSp,Fare
872,1,1,3.0,0,0.0
873,3,1,4.0,0,0.0
874,2,0,2.0,1,2.0
875,3,0,1.0,0,0.0
876,3,1,2.0,0,0.0
877,3,1,1.0,0,0.0
878,3,1,2.0,0,0.0
879,1,0,5.0,0,8.0
880,2,0,2.0,0,2.0
881,3,1,3.0,0,0.0
882,3,0,2.0,0,1.0
883,2,1,2.0,0,1.0
884,3,1,2.0,0,0.0
885,3,0,3.0,0,2.0
886,2,1,2.0,0,1.0
887,1,0,1.0,0,3.0
888,3,0,2.0,1,2.0
889,1,1,2.0,0,3.0
890,3,1,3.0,0,0.0
